"Bachelor's degree ","% boost in earnings"
"Accounting",0.2798
"Actuarial science",0.1894
"Business economics",0.2953
"Business management and administration",0.2905
"Finance",0.3151
"General business",0.3247
"Hospitality management",0.2966
"Human resources and personnel management",0.259
"International business",0.3062
"Management information systems and statistics",0.1828
"Marketing and marketing research",0.2401
"Miscellaneous business and medical administration",0.3065
"Operations logistics and e-commerce",0.3404
"Advertising and public relations",0.1388
"Communications and mass media",0.195
"Journalism",0.2378
"Criminal justice and fire protection",0.2329
"Family and consumer sciences",0.3158
"Industrial arts, consumer services, and recreation: Other",0.1022
"Military technologies",0.2575
"Physical fitness, parks, recreation, and leisure",0.3265
"Transportation sciences and technologies",0.2406
"Art and music education",0.3396
"Early childhood education",0.3505
"Elementary education",0.3453
"General education",0.318
"Language and drama education",0.331
"Mathematics teacher education",0.3443
"Miscellaneous education",0.2116
"Physical and health education teaching",0.3078
"Science and computer teacher education",0.335
"Secondary teacher education",0.3333
"Social science or history teacher education",0.3578
"Special needs education",0.3536
"Teacher education: multiple levels",0.3133
"Human services and community organization",0.2888
"Public administration",0.1741
"Public policy",0.3857
"Social work",0.2993
"Theology and religious vocations",0.2027
"Communication disorders sciences and services",0.4234
"Community and public health",0.3355
"General medical and health services",0.4717
"Health and medical administrative services",0.4097
"Health and medical preparatory programs",1.167
"Miscellaneous health medical professions",0.2617
"Nursing",0.3608
"Nutrition sciences",0.3181
"Pharmacy and pharmaceutical sciences and administration",0.0192
"Treatment therapy professions",0.1805
"Commercial art and graphic design",0.2506
"Drama and theater arts",0.2829
"Film, video, and photographic arts",0.1773
"Fine arts",0.2021
"Music",0.2389
"Studio arts",0.2685
"Visual and performing arts",0.2614
"Area ethnic and civilization studies",0.4053
"Art history and criticism",0.2575
"Composition and speech",0.2601
"English language and literature",0.2904
"French, German, Latin and other common foreign language studies",0.3124
"History",0.3825
"Humanities",0.3788
"Intercultural and international studies",0.3138
"Liberal arts",0.3171
"Linguistics and comparative language and literature",0.3473
"Other foreign languages",0.3493
"Philosophy and religious studies",0.3369
"Multi/interdisciplinary studies",0.1832
"Multidisciplinary or general science",0.4203
"Agricultural economics",0.2016
"Agriculture production and management",0.224
"Animal sciences",0.5667
"Food science",0.1835
"Forestry",0.2656
"General agriculture",0.2776
"Miscellaneous agriculture",0.2276
"Natural resources management",0.2376
"Plant science and agronomy",0.2705
"Soil science",0.1402
"Aerospace engineering",0.2685
"Architectural engineering",0.0549
"Architecture",0.1261
"Biomedical engineering",0.2664
"Chemical engineering",0.2084
"Civil engineering",0.1879
"Electrical engineering",0.2484
"Engineering and industrial management",0.3125
"Engineering mechanics, physics, and science",0.375
"Engineering technologies",0.1981
"Environmental engineering",0.2231
"General engineering",0.2683
"Geological and geophysical engineering",0.3155
"Industrial and manufacturing engineering",0.285
"Industrial production technologies",0.2058
"Materials engineering and materials science",0.2651
"Mechanical engineering",0.2588
"Mechanical engineering related technologies",0.25
"Metallurgical engineering",0.2088
"Mining and mineral engineering",0.1494
"Miscellaneous engineering",0.274
"Miscellaneous engineering technologies",0.2352
"Naval architecture and marine engineering",0.2495
"Nuclear engineering",0.1744
"Petroleum engineering",0.1379
"Biochemical sciences",0.6686
"Biology",0.6516
"Botany",0.2565
"Ecology",0.3375
"Environmental science",0.2716
"Genetics",0.4106
"Microbiology",0.4333
"Miscellaneous biology",0.3399
"Molecular biology",0.5803
"Neuroscience",0.3777
"Physiology",0.4905
"Zoology",0.859
"Applied mathematics",0.321
"Computer and information systems",0.2437
"Computer engineering",0.216
"Computer science",0.2114
"Computers, statistics, and mathematics: Other",0.3472
"Information sciences",0.2305
"Mathematics",0.2443
"Statistics and decision science",0.2671
"Astronomy and astrophysics",0.4491
"Atmospheric sciences and meteorology",0.2263
"Chemistry",0.6001
"Geology and earth science",0.316
"Geosciences",0.5226
"Materials science",0.2901
"Nuclear, industrial radiology, and biological technologies",0.4015
"Oceanography",0.3934
"Other physical sciences",0.4057
"Physics",0.368
"Cognitive science and biopsychology",0.2441
"Counseling psychology",0.2381
"Industrial and organizational psychology",0.3561
"Psychology",0.3322
"Social psychology",0.2782
"Anthropology and archaeology",0.3406
"Criminology",0.2766
"Economics",0.4149
"General social sciences",0.3115
"Geography",0.2471
"Interdisciplinary social sciences",0.3605
"International relations",0.4117
"Miscellaneous social sciences",0.2727
"Political science and government",0.409
"Pre-law and legal studies",0.4723
"Sociology",0.2793