"Category","Agriculture and natural resources","Architecture and engineering","Biology and life sciences","Computers, statistics, and mathematics","Physical sciences","Agriculture and natural resources","Architecture and engineering","Biology and life sciences","Computers, statistics, and mathematics","Physical sciences"
"2009&ndash;2011",0.0622,0.0778,0.0749,0.0853,0.06,0.0346,0.0495,0.0486,0.0521,0.0496
"2010&ndash;2012",0.0557,0.0751,0.0794,0.0851,0.0568,0.0335,0.0442,0.0498,0.0476,0.0484
"2011&ndash;2013",0.0458,0.0674,0.0716,0.0725,0.0524,0.0279,0.0373,0.0476,0.0424,0.0467
"2012&ndash;2014",0.0378,0.0633,0.0745,0.0665,0.0611,0.0243,0.0321,0.0452,0.0381,0.0414
"2013&ndash;2015",0.0359,0.0579,0.0687,0.063,0.0597,0.0228,0.0285,0.0405,0.0351,0.0391
"2014&ndash;2016",0.0307,0.053,0.0667,0.0646,0.0556,0.0198,0.0247,0.0364,0.0307,0.0359
"2015&ndash;2017",0.0433,0.0535,0.0601,0.0616,0.0542,0.0202,0.0241,0.0328,0.0297,0.033
"2016&ndash;2018",0.039,0.0512,0.054,0.0619,0.0553,0.0171,0.0232,0.0288,0.0287,0.0324
"2017&ndash;2019",0.0458,0.0496,0.0499,0.0637,0.057,0.0171,0.0221,0.0254,0.0288,0.0312
"2018&ndash;2020",0.0525,0.0597,0.0541,0.0704,0.0563,0.0192,0.0253,0.0302,0.0344,0.0359
"2019&ndash;2021",0.0582,0.0639,0.0597,0.0727,0.0605,0.0219,0.0271,0.0342,0.036,0.0395
"2020&ndash;2022",0.0544,0.0591,0.058,0.0694,0.0608,0.0223,0.0272,0.0337,0.035,0.0368
"2021&ndash;2023",0.038,0.0403,0.0505,0.0679,0.0552,0.0175,0.0221,0.0289,0.0307,0.0309